Status,Progress,Duration (in seconds),Finished,ResponseId,DistributionChannel,UserLanguage,Q45,Q1,Q16,Q16_19_TEXT,Q2,Q2_16_TEXT,Q3,Q3_13_TEXT,Q6,Q7,Q7_6_TEXT,Q8,Q9,Q9_2_TEXT,Q10,Q11,Q11_6_TEXT,Q12,Q12_1_TEXT,Q12_3_TEXT,Q13,Q13_5_TEXT,Q14,Q15,Q17,Q17_9_TEXT,Q18,Q18_8_TEXT,Q19,Q20,Q20_7_TEXT,Q21,Q21_12_TEXT,Q22,Q23,Q23_10_TEXT,Q48,Q43,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_8_TEXT,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_8_TEXT,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_8_TEXT,Q32,Q33,Q34,Q35,Q42,Q36,Q37,Q38,Q39,Q40,Q41
IP Address,100,780,TRUE,R_2bKwvDbFtlPiZEt,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"evolutionary development,functional anatomy/biomechanics,paleoanthropology,physical (biological) anthropology",NA,assistant professor,NA,no,NA,NA,I don't know,NA,NA,Yes,Improved an ongoing study through data resources made accessible to me,NA,author sent me data directly,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum administrator, descendant population)",NA,NA,NA,NA,NA,NA,not sure / depends,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,NA,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
IP Address,100,305,TRUE,R_3kLkXZWzlnpd3dT,anonymous,EN,NA,Agree,ESHE--European Society for the study of Human Evolution,NA,"evolutionary biology,paleoanthropology,paleontology,physical (biological) anthropology",NA,associate professor (tenured),NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,author sent me data directly,NA,NA,NA,NA,yes,dryad,"required to by journals in which I publish my research,I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,NA,NA,no,NA,NA,NA,NA,yes,"I was not aware of any repositories capable of storing the data in a useful way.,I was not aware of any repositories that allow my data to be archived with the appropriate restrictions/embargos on access.,Too expensive to pay repository fees.,Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population)",NA,NA,NA,not sure / depends,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,NA,NA,strong obligation,strong obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
IP Address,100,1023,TRUE,R_3KHfZ1AmMsEGuKt,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"evolutionary biology,functional anatomy/biomechanics,paleoanthropology,physical (biological) anthropology",NA,adjunct lecturer/instructor,NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise",NA,online repository (please write in names of repositories you have downloaded data from),"Digimorph, Morphosource",NA,NA,NA,yes,Dryad,"required to by journals in which I publish my research,satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,NA,NA,no,NA,NA,NA,NA,yes,"Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population),other (write in)",Data sharing policy of museum from which I borrowed and CT scanned specimens not clear,NA,See above. Digital data generated before there was an awareness of data sharing is sometime hard to resolve because the original stake holders and/or loan documents etc are often not accessible anymore,not sure / depends,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences strong benefit,experiences strong benefit,NA,NA,NA,NA,NA,NA,NA,little obligation,little obligation,little obligation,little obligation,little obligation,little obligation,little obligation,little obligation,NA,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
IP Address,100,407,TRUE,R_2tnfOSIWlTo8JjM,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"paleoanthropology,paleontology",NA,associate professor (tenured),NA,yes,racial identity,NA,I don't know,NA,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",NA,NA,NA,NA,yes,"dryad, figshare","I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,My paper was cited specifically for the shared data it included,NA,no,NA,NA,NA,NA,yes,"Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population)",NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,strong obligation,strong obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strong obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,strongly disagree,Strongly agree,Strongly agree,Strongly agree
IP Address,100,865,TRUE,R_3kB8G5LJQ7e7xnj,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"evolutionary biology,paleoanthropology,paleontology,physical (biological) anthropology,phylogenetics",NA,postdoctoral fellow,NA,no,NA,NA,yes,yes,NA,Yes,"I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),I was able to design and execute all or part of a thesis with shared data",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly,other (write in)","Morphosource, Figshare",Downloaded from the supplementary online material,NA,NA,yes,Morphosource,"expected/encouraged by  my employer (e.g., for promotion/tenure),I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,"I was able to provide evidence of my past data sharing in a new grant proposal,Evidence of my data sharing was remarked upon positively in my performance reviews/promotion assessments",NA,no,NA,NA,NA,NA,yes,I could have been scooped on other current or planned future research if I did,NA,NA,"I have shared/plan to share the entire dataset I have been using for publications. On the other hand, achieving data has been always limited by conflict of interest from other researchers.",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,NA,strongeset obligation,little obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,strongly disagree,Somewhat agree,Somewhat agree,Strongly agree
IP Address,100,327,TRUE,R_2pS3ykPa8uqw0qj,anonymous,EN,NA,Agree,"ESHE--European Society for the study of Human Evolution,Paleoanthropology Society,other (write in)",Society for American Archaeology,"archaeology,paleoanthropology",NA,full professor (tenured),NA,no,NA,NA,yes,yes,NA,No,NA,NA,NA,NA,NA,There is not a culture of sharing data in my field (it is not required or expected).,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"I have not yet completed a research project or scientific manuscript to the point of having to plan for data archiving or sharing yet,There is not a culture of data archiving/sharing in my field (it is not required or expected),Too time consuming,Too expensive to pay repository fees",NA,NA,NA,NA,NA,NA,not sure / depends,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences little benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
IP Address,100,1232,TRUE,R_3DbyLk56GS0cuu2,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"biogeography,paleoanthropology,paleontology",NA,full time lecturer/instructor,NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly","Zenodo, ROAD,",NA,NA,NA,yes,"Zenodo, ROAD","required to by a foundation supporting my research (e.g., NSF),required to by journals in which I publish my research,satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,"I was invited to collaborate on a paper using data I shared,I was able to report more publications using my data to the grant sponsor who funded the data collection than if I hadnt shared my data,The data were used for outreach and education and I was able to report that as impact of my data,An independent researcher was able to confirm and build upon results of my study because I shared the data.",NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences strong benefit,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,strong obligation,strong obligation,strong obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,strongly disagree,Strongly agree,Somewhat agree,Strongly agree
IP Address,100,790,TRUE,R_3OoHF1Onv1pcW67,anonymous,EN,proceed,Agree,"American Association of Physical Anthropologists,ESHE--European Society for the study of Human Evolution",NA,paleoanthropology,NA,full professor (tenured),NA,no,NA,NA,yes,yes,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),I was able to design and execute all or part of a thesis with shared data",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",https://www.peterbrown-palaeoanthropology.net/,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,other (write in),I guess i actually have shared it but there is no back button on this survey to change my reponse for the previous question,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
IP Address,100,269,TRUE,R_a4VixuIRv3WU7Dz,anonymous,EN,NA,Agree,"American Association of Physical Anthropologists,ESHE--European Society for the study of Human Evolution",NA,"archaeology,paleoanthropology",NA,graduate student,NA,no,NA,NA,I don't know,NA,NA,No,NA,NA,NA,NA,NA,"There is not a culture of sharing data in my field (it is not required or expected).,The data collection and reporting methods are complex and poorly standardized meaning it is difficult to re-use data between studies,e. Other (write in)",Researchers prevent sharing of their data,no,NA,NA,NA,NA,NA,NA,NA,NA,I have not yet completed a research project or scientific manuscript to the point of having to plan for data archiving or sharing yet,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences little benefit,experiences strong benefit,experiences the strongest benefit,experiences the strongest benefit,experiences little benefit,experiences the strongest benefit,experiences little benefit,NA,NA,little obligation,strong obligation,NA,strongeset obligation,little obligation,strongeset obligation,little obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,strongly disagree,Strongly agree,Strongly agree,Strongly agree
IP Address,100,317,TRUE,R_1EaEX38eiYsQC7w,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"archaeology,bioarchaeology,evolutionary biology,paleoanthropology,physical (biological) anthropology",NA,associate professor (tenured),NA,yes,socioeconomic,NA,I don't know,NA,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection),I was able to design and execute all or part of a thesis with shared data",NA,author sent me data directly,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,I am not aware of any repositories capable of storing my data in a useful way.,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,strong obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,strongeset obligation,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
IP Address,100,343,TRUE,R_2VDbYpHN3bSEd23,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"evolutionary biology,paleoanthropology,physical (biological) anthropology",NA,associate professor (tenured),NA,no,NA,NA,I don't know,NA,NA,Yes,Improved an ongoing study through data resources made accessible to me,NA,online repository (please write in names of repositories you have downloaded data from),NA,NA,NA,NA,yes,supplemental information hosted by journals,"I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,NA,NA,no,NA,NA,NA,NA,yes,I could have been scooped on other current or planned future research if I did,NA,NA,NA,not sure / depends,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
IP Address,100,1176,TRUE,R_1DOsjNr1p9H6Ksz,anonymous,EN,NA,Agree,Paleoanthropology Society,NA,"global health,paleoanthropology",NA,assistant professor,NA,no,NA,NA,no,NA,NA,No,NA,NA,NA,NA,NA,There is not a culture of sharing data in my field (it is not required or expected).,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,There is not a culture of data archiving/sharing in my field (it is not required or expected),NA,NA,NA,NA,NA,NA,not sure / depends,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences little benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences little benefit,NA,NA,little obligation,strong obligation,NA,strongeset obligation,strong obligation,little obligation,strong obligation,NA,NA,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
IP Address,100,614,TRUE,R_31T9ck3vCsLq53A,anonymous,EN,NA,Agree,American Association of Physical Anthropologists,NA,"evolutionary biology,functional anatomy/biomechanics,human biology,paleoanthropology,physical (biological) anthropology,skeletal biology",NA,associate professor (tenured),NA,yes,sex,NA,yes,yes,NA,Yes,"Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,author sent me data directly,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"There is not a culture of data archiving/sharing in my field (it is not required or expected),I am not aware of any repositories capable of storing my data in a useful way.,other (write in)",I prefer to control whom I share data with and preferably get authorship for offering data (I always give others who share with me authorship-- we are talking about data that takes years to collect).,NA,NA,NA,"I have had great luck contacting other scholars in my field and asking for data in exchange for co-authorship. This has often started lasting collaborations.  Similarly, I have given my data out to everyone who has ever asked, leading to more profitable collaborations.","I'm not sure.  I don't really believe in giving away data for free. It is the currency of our profession and often took me years to collect, so I think people should be rewarded for that huge effort.  I'm not interested in archiving for that reason-- I would prefer to work out agreements with individual researchers.",not sure / depends,UNLIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences little benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,strong obligation,strongeset obligation,strong obligation,strong obligation,strong obligation,strong obligation,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,strongly disagree
IP Address,100,458,TRUE,R_3RsYrdoVGNwThRu,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"archaeology,paleoanthropology,paleontology,physical (biological) anthropology",NA,retired,NA,yes,NA,NA,no,NA,NA,No,NA,NA,NA,NA,NA,"Stakeholders other than the researchers who collected the original data act to prevent data sharing in my field (e.g., museum administrators, descendent populations)",NA,yes,NA,required to by journals in which I publish my research,NA,I was invited to collaborate on a paper using data I shared,NA,yes,People used the data without acknowledging/citing me or other sources,NA,NA,NA,NA,NA,NA,NA,NA,not sure / depends,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences the strongest benefit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IP Address,100,361,TRUE,R_2wcaVeUu3LZjpoB,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"functional anatomy/biomechanics,paleoanthropology",NA,graduate student,NA,no,NA,NA,yes,yes,NA,No,NA,NA,NA,NA,NA,"Stakeholders other than the researchers who collected the original data act to prevent data sharing in my field (e.g., museum administrators, descendent populations)",NA,yes,Kent academic repository,"required to by journals in which I publish my research,I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I wanted to benefit others by sharing my data",NA,other (write in),None yet,no,NA,NA,NA,NA,no,NA,NA,NA,NA,not sure / depends,LIKELY to benefit,LIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,UNLIKELY to benefit,LIKELY to benefit,UNLIKELY to benefit,NA,NA,experiences strong benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences little benefit,NA,NA,strong obligation,strong obligation,strongeset obligation,strong obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree
IP Address,100,1644,TRUE,R_2sda3lQTyvYiQXU,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"paleoanthropology,physical (biological) anthropology",NA,assistant professor,NA,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise,I was able to do a research project much more quickly and less expensively (without having to travel or pay for as much data collection)",NA,author sent me data directly,NA,NA,NA,NA,yes,Zenodo,"required to by a foundation supporting my research (e.g., NSF),I hoped to increase impact of my data (e.g., to generate data citations),satisfy my own personal/professional standards,I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,Evidence of my data sharing was remarked upon positively in my performance reviews/promotion assessments,NA,no,NA,NA,NA,NA,yes,"Other stakeholders did not allow me to archive/share data (e.g., collaborator, advisor, museum, descendant population)",NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,strong obligation,strong obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree
IP Address,100,368,TRUE,R_D94eAqbapdpUVtn,anonymous,EN,NA,Agree,American Association of Physical Anthropologists,NA,paleoanthropology,NA,full professor (tenured),NA,no,NA,NA,yes,yes,NA,Yes,I was able to design and execute a study that would not have been possible otherwise,NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",NA,NA,NA,NA,yes,morphosource,"I have benefited from others sharing data and wanted to pay it forward,I wanted to benefit others by sharing my data",NA,other (write in),nothing tangible,no,NA,NA,NA,NA,no,NA,NA,Allow access to fossils to people who cannot travel to see the originals,"Museums often hold rights to share data, so it is often not up to me",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,NA,NA,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,NA,NA,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
IP Address,100,1081,TRUE,R_2ci9IsQNuewsqPd,anonymous,EN,proceed,Agree,"American Association of Physical Anthropologists,ESHE--European Society for the study of Human Evolution",NA,paleoanthropology,NA,other (write in),museum curator,no,NA,NA,yes,yes,NA,Yes,"Improved my teaching/outreach through data resources made accessible to me,Improved an ongoing study through data resources made accessible to me,I was able to design and execute a study that would not have been possible otherwise",NA,"online repository (please write in names of repositories you have downloaded data from),author sent me data directly",NA,NA,NA,NA,yes,Gen- Bank,"required to by journals in which I publish my research,I wanted to benefit others by sharing my data",NA,"I was invited to collaborate on a paper using data I shared,An independent researcher was able to confirm and build upon results of my study because I shared the data.",NA,no,NA,NA,NA,NA,yes,"I could have been scooped on other current or planned future research if I did,I planned to give first priority of reuse to my students (or future students)",NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences strong benefit,experiences the strongest benefit,NA,NA,little obligation,little obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strong obligation,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
IP Address,100,276,TRUE,R_3imBgeFjlyeHktb,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,paleoanthropology,NA,adjunct lecturer/instructor,NA,yes,racial identity,NA,yes,no (provide an explanation of why not if you desire),NA,No,NA,NA,NA,NA,NA,"There is not a culture of sharing data in my field (it is not required or expected).,Stakeholders other than the researchers who collected the original data act to prevent data sharing in my field (e.g., museum administrators, descendent populations),The data collection and reporting methods are complex and poorly standardized meaning it is difficult to re-use data between studies",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"I have not yet completed a research project or scientific manuscript to the point of having to plan for data archiving or sharing yet,There is not a culture of data archiving/sharing in my field (it is not required or expected),Too expensive to pay repository fees",NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences little benefit,experiences strong benefit,experiences strong benefit,experiences little benefit,experiences the strongest benefit,NA,NA,strong obligation,strong obligation,strongeset obligation,strongeset obligation,strong obligation,strongeset obligation,strongeset obligation,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
IP Address,100,515,TRUE,R_Az0LRHVVnmZnbrz,anonymous,EN,proceed,Agree,ESHE--European Society for the study of Human Evolution,NA,"functional anatomy/biomechanics,paleoanthropology,paleontology,physical (biological) anthropology",NA,full professor (tenured),NA,no,NA,NA,yes,yes,NA,Yes,Improved an ongoing study through data resources made accessible to me,NA,author sent me data directly,NA,NA,NA,NA,yes,PaleoCore,I wanted to benefit others by sharing my data,NA,I was invited to collaborate on a paper using data I shared,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,experiences the strongest benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,experiences strong benefit,NA,NA,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,strong obligation,NA,NA,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
